"date","time","tweet","year_month","year"
2023-01-01,"","resuelto gracias excelente servicio siempre","2023_01","2023"
2023-01-02,"","gracias espero dm","2023_01","2023"
2023-01-02,"","gracias","2023_01","2023"
2023-01-02,"","similar paso queria renovar token poder hacer transferencia cerrar cuenta wow mas facil sacar dinero ventanilla","2023_01","2023"
2023-01-02,"","yeeeei traves cuenta acabo contratar cuenta ahorro reto tener mil pesos final ao super herramienta domiciliar cuenta eje asi ahorrar disciplinadamente semana vamos ","2023_01","2023"
2023-01-02,"","seal necesitan tener minimo dinero banamex","2023_01","2023"
2023-01-03,"","gracias ","2023_01","2023"
2023-01-03,"","gracias ","2023_01","2023"
2023-01-03,"","recomiendo inversion mejores rendimientos visto plazo dias tambien chingon limite k inverson","2023_01","2023"
2023-01-04,"","gracias playera dieron galerias gdl","2023_01","2023"
2023-01-04,"","buen diatengo problemas cuenta","2023_01","2023"
2023-01-05,"","gracias","2023_01","2023"
2023-01-05,"","respetos gracias servicio ","2023_01","2023"
2023-01-05,"","bloquee desbloquee pude hacer deposito oxxo gracias","2023_01","2023"
2023-01-06,"","bien gracias ","2023_01","2023"
2023-01-06,"","milagro gano ","2023_01","2023"
2023-01-06,"","siii amigo jajaja padre puedes inveir da buen rendimiento ","2023_01","2023"
2023-01-06,"","nunca habia ganado hahaha","2023_01","2023"
2023-01-06,"","cashback pude pagar servicio internet yei ","2023_01","2023"
2023-01-07,"","gracias","2023_01","2023"
2023-01-07,"","listo gracias","2023_01","2023"
2023-01-07,"","gracias","2023_01","2023"
2023-01-08,"","llego semana despues aprox","2023_01","2023"
2023-01-09,"","hola buen dia dudas cuenta podrian ponerse contacto gracias","2023_01","2023"
2023-01-10,"","gracias","2023_01","2023"
2023-01-10,"","gracias ","2023_01","2023"
2023-01-10,"","bloquea tarjeta minutos mas posteriomente vuelves desbloquear agregas solucion confirmas tweet favor","2023_01","2023"
2023-01-10,"","udis todas plataformas inveido mejores finsus cetes largo plazo mejor opcion fondo emergencia liquidez semanal finsus rededor poafolio","2023_01","2023"
2023-01-11,"","excelente gracias responder atentos ","2023_01","2023"
2023-01-11,"","pues bueno quede cena gracias ","2023_01","2023"
2023-01-11,"","gracias igualmente bendiciones ","2023_01","2023"
2023-01-11,"","vale esperando","2023_01","2023"
2023-01-11,"","gracias espero respuesta","2023_01","2023"
2023-01-13,"","gane pesitos credito amazon coesia agradables sujetos ","2023_01","2023"
2023-01-13,"","mejor","2023_01","2023"
2023-01-13,"","contestenme favor","2023_01","2023"
2023-01-14,"","gracias amables ","2023_01","2023"
2023-01-14,"","aos cliente bancomer encontre verdad agusto servicios app tarjetas debito credito","2023_01","2023"
2023-01-14,"","amigos mande dm gracias","2023_01","2023"
2023-01-14,"","solicito ayuda gracias","2023_01","2023"
2023-01-15,"","graciasya respondiquedo atenta","2023_01","2023"
2023-01-16,"","va gracias","2023_01","2023"
2023-01-16,"","pique gracias","2023_01","2023"
2023-01-16,"","planeacion temporada equipos gracias ocnfianza dia viene bomba patrocinio vamos dobletedavilacarloss","2023_01","2023"
2023-01-16,"","","2023_01","2023"
2023-01-17,"","gracias","2023_01","2023"
2023-01-17,"","thanks","2023_01","2023"
2023-01-17,"","gracias","2023_01","2023"
2023-01-17,"","gracias ayudo suficiente cargo procedio poaron bn aun pude comunicar telefono amables mil gracias interes hizo cargo","2023_01","2023"
2023-01-17,"","increible gracias heybancoheybanco","2023_01","2023"
2023-01-17,"","contestaron","2023_01","2023"
