"time","tweet"
"22:23:42","bien mero alcanzo "
"21:13:51","gracias confianza felices formes pae familia klar "
"18:51:34","verdaderamente interesante herramienta inversion personal seria unico tarjeta pagaria plan segun plan pagues dejas dinero dias pueden dar interes anual"
"18:05:15","estan ahorros contigo gracias"
"18:01:11","gracias siempre super atentos efectividad resolver dudas"
"17:44:55","gracias respuesta conteste dm saludos"
"15:53:03","servie"
"14:25:33","estudiante idea brillante reto emprende espera paicipa gana"
"03:59:10","uf buena idea pague coins"
"03:53:34","mejor anualidad mensualidad "
