"date","time","tweet","date_formatted"
2023-02-01,"","gracias ","01_02_2023"
2023-02-01,"","gracias checo","01_02_2023"
2023-02-01,"","habra viaje financiero buena informacion","01_02_2023"
2023-02-01,"","gracias dato soeo ","01_02_2023"
2023-02-01,"","buen dia mepueden ayudar realizaron deposito cuenta credito necesito credito","01_02_2023"
2023-02-02,"","gracias","02_02_2023"
2023-02-02,"","gracias soluciono buenas tardes","02_02_2023"
2023-02-02,"","realizaregracias","02_02_2023"
2023-02-02,"","diciembre gane tarjeta regalo amazon ticket dorado compre estose emociona señora","02_02_2023"
2023-02-03,"","funciono mil gracias","03_02_2023"
2023-02-03,"","gracias necesario buena opcion momento problemas graves adaptarme procesos aun asi creo van buen camino aunque ocasiones hagan enojar","03_02_2023"
2023-02-04,"","mmm da rendimiento buena opcion","04_02_2023"
2023-02-04,"","gracias aumento credito tarjeta contenta servicios ","04_02_2023"
2023-02-05,"","hablando ajolotes sacara tarjeta encanto ","05_02_2023"
2023-02-07,"","seria mejor tdc pudiera realizar pagos adelantado meses intereses cuentas opcion excelente usuarios","07_02_2023"
2023-02-08,"","casi rindo obtuve ayuda equipo sopoe afounadamente alguien aqui refirio twitter enviale mensaje privado arreglo gracias contactalo","08_02_2023"
2023-02-08,"","gracias mejor ","08_02_2023"
2023-02-10,"","pagares semanales anual semana obtienes rendimientos puedes reinveir siguiente pagare forma automatica generas interes compuesto rapido muchisimo mejor anual cetes","10_02_2023"
2023-02-11,"","gracias","11_02_2023"
2023-02-11,"","solucionado gracias","11_02_2023"
2023-02-11,"","alch hechate investigadas cetes gmb cetes ocupas investigar chido seguro dinero seguro rapido","11_02_2023"
2023-02-11,"","excelente servicio atencion clientes ","11_02_2023"
2023-02-11,"","primera vez gane boleto dorado dor quiero ","11_02_2023"
2023-02-13,"","ok gracias ","13_02_2023"
2023-02-13,"","gracias duda","13_02_2023"
2023-02-13,"","gracias formar pae gran familia","13_02_2023"
2023-02-13,"","despues hoy vida favorito dijeron ten tarjeta regalo eches starbucks relajes rato","13_02_2023"
2023-02-14,""," recomendado vdd","14_02_2023"
2023-02-14,"","ver fit viable seguros vida ","14_02_2023"
2023-02-14,"","interesante encontre permisos utiliza aplicacion activada necesitan","14_02_2023"
2023-02-15,""," gracias ","15_02_2023"
2023-02-15,"","hola intenta telefono correo imagen app verdad problemas","15_02_2023"
2023-02-15,"","hola ocupo ayuda cambio numero celular token","15_02_2023"
2023-02-16,"","eh pensado cambiar nomina agustoque bueno dicen sacar tarjeta ahi","16_02_2023"
2023-02-16,"","gracias vi relacion transferencias internacionales veo informacion","16_02_2023"
2023-02-16,"","pues mas vale verdad","16_02_2023"
2023-02-16,"","listo","16_02_2023"
2023-02-17,"","acaba llegar constancia fiscal año pasado gane nomas tener dinero guardado ","17_02_2023"
2023-02-17,"","jamas menos amex primera anualidad gratis da beneficios compras primer año bonos","17_02_2023"
2023-02-17,"","gracias respuesta estare pendiente","17_02_2023"
2023-02-18,"","hola buenas tardes","18_02_2023"
2023-02-18,"","buen dia gracias respondi dm tarde pense respondian noche hehe","18_02_2023"
2023-02-20,"","gracias","20_02_2023"
2023-02-20,"","tqm gracias poner retiros cajeros hsbc q mas cerquita","20_02_2023"
2023-02-21,"","hola","21_02_2023"
2023-02-23,"","saludos","23_02_2023"
2023-02-23,"","real tarjeta neta general ","23_02_2023"
2023-02-23,""," cuenta nunca pedi fisica pedire gracias recomendacion ","23_02_2023"
2023-02-23,"","puedo inveir genera ganancias","23_02_2023"
2023-02-24,"","bueno perdi tarjeta necesitaba nueva diseño","24_02_2023"
2023-02-24,"","tqm mejores bancos producto tdc pagares bancarios inveir ademas sabe ando foraneo regalo dinerito amazon boleto dorado","24_02_2023"
