"","x"
"credito",3
"meses",3
"llegan",3
"mas",3
"compra",3
"coins",3
"recompensas",2
"gusto",2
"solucion",2
"favor",2
"dia",2
"dinero",2
"amazon",2
"canje",2
"casi",2
"codigos",2
"instantaneas",2
"regalo",2
"tarjetas",2
"excelente",2
"abrazo",2
"recomiendo",2
"hola",2
"aprovecha",1
"clientes",1
"compras",1
"efectivo",1
"list",1
"promocion",1
"recibe",1
"temporada",1
"buro",1
"gustaba",1
"repoaba",1
"completa",1
"coreo",1
"final",1
"indio",1
"interpretan",1
"llama",1
"luz",1
"obra",1
"salido",1
"banamex",1
"llevo",1
"recomendando",1
"regresar",1
"sera",1
"siempre",1
"tarjeta",1
"condiciones",1
"terminos",1
"jajajaja",1
"aprende",1
"breve",1
"cobrar",1
"depositar",1
"economia",1
"gazagenocide",1
"leccion",1
"luchas",1
"pagarle",1
"tiempo",1
"adicional",1
"ciento",1
"cobra",1
"financieros",1
"guardes",1
"instrumentos",1
"mueves",1
"nuevos",1
"ofrecen",1
"seis",1
"chingada",1
"despues",1
"estan",1
"fin",1
"hsbc",1
"jamas",1
"literalmente",1
"madre",1
"mamadas",1
"mejor",1
"opcion",1
"pedo",1
"pense",1
"pesos",1
"quedaria",1
"todas",1
"tremendo",1
"correcto",1
"preambulos",1
"aparecio",1
"buena",1
"celular",1
"contratar",1
"promo",1
"seguro",1
"ins",1
"bro",1
"dijeron",1
"pregunta",1
"instante",1
"paso",1
"recuerdan",1
"cambie",1
"codigo",1
"confirmacion",1
"confirmo",1
"cool",1
"correo",1
"hoy",1
"realizo",1
"viene",1
"amamos",1
"juegos",1
"maratondevir",1
"patrocine",1
"cambiar",1
"debido",1
"evalue",1
"gratamente",1
"rendimiento",1
"sorprendida",1
"tasa",1
"wow",1
"amablemente",1
"areaespecializada",1
"dio",1
"atencion",1
"familia",1
"felices",1
"fiestas",1
"inmediata",1
"tambien",1
"toda",1
"accesible",1
"azteca",1
"baz",1
"comision",1
"entiendo",1
"entra",1
"genera",1
"transfiero",1
"informacion",1
"aplicacion",1
"atiende",1
"bbva",1
"buenos",1
"compair",1
"detalle",1
"dias",1
"mayor",1
"mexico",1
"pepe",1
"podrias",1
"presentas",1
"saludae",1
"situacion",1
"sofia",1
"via",1
"abundancia",1
"declaro",1
"ganarme",1
"manifestando",1
"soeo",1
"aumenten",1
"buen",1
"duda",1
"hacer",1
"historial",1
"linea",1
"mantenido",1
"tdc",1
"atendieron",1
"ayer",1
"llamada",1
"quedo",1
"rapido",1
"resuelto",1
