"topic","term","beta"
1,"clientes",0.0209914674862782
1,"hoy",0.0209914674862817
3,"app",0.050632911392407
3,"cambiar",0.0253164556962017
3,"equipo",0.0253164556962017
4,"mas",0.0762468403877025
3,"pude",0.0253164556962017
1,"gracias",0.0238967717939658
2,"gracias",0.153718380728359
3,"gracias",0.050632911392429
2,"cuenta",0.0208811216974648
2,"ninguna",0.0208811216974648
3,"datos",0.0253164556962017
3,"dia",0.0253164556962017
2,"funciono",0.052202804243663
4,"colonia",0.0384897160723913
4,"moreno",0.0384897160723888
